,newid,region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,inc.a,food,house,transport,utili,health,enter
1093,3062353,3,1,2,1,1,33,1,1,14,9,0,77422,86500,5578.6668,7365.3332,336,2160,9600,904
1094,3072244,2,1,2,2,2,64,2,1,12,5,0,29478.4,29478.4,780,1070.6668,252,740,1920,68
1099,2996092,2,1,2,1,4,37,1,1,16,9,0,90290.4,104083.4,6053.3332,10520,2874.6668,2680,6560,164
1106,2877684,2,1,1,1,2,59,1,1,16,9,0,90867.4,106561.4,3674.6668,3842.6668,1888,1480,32613.3328,520
1108,3008252,1,1,1,1,2,63,1,1,15,8,0,51557,57000,2340,4040,4080,2384,4021.3328,320
1110,3004272,4,9,1,1,4,60,2,3,12,6,0,31313,32000,2080,3920,1200,480,1280,1144
1112,2928873,4,1,2,1,2,51,2,1,13,8,0,47728.4,65088.4,4510.6668,3701.3332,5840,2728,4842.6672,1084
1117,3004142,2,1,2,1,1,32,2,1,15,9,0,92751,110000,4160,5785.3332,796,1608,4037.3328,1376
1118,2992602,4,1,2,1,4,40,1,1,15,9,0,103717.6,119274.6,9562.6668,11844,3788,1500,28896,624
1121,3006002,2,9,1,1,1,51,2,3,12,1,0,5025,4828,1300,5492,2692,1880,6558.4,448
1122,2870464,4,1,2,1,2,63,2,1,16,9,0,90067.6,106797.6,3293.3332,3976,736,756,43897.0672,228
1130,3075913,3,1,1,1,2,58,2,1,15,9,0,95480,109000,2392,7673.3332,1200,904,7008,604
1132,3073324,4,1,1,2,4,31,2,1,13,7,0,43466.6,44986.6,3640,7228,3342.6668,1700,1678.4,920
1136,2806385,3,1,1,1,1,64,1,1,13,5,0,21244.4,21655.4,2600,4702.6668,724,900,12160,496
1137,2837444,3,1,2,1,4,27,1,1,15,8,0,54882.4,59982.4,3640,11052,8696,1844,12528,140
1139,2947733,3,1,2,1,2,60,1,1,15,9,0,186435,250000,3380,5009.3332,6988,2272,2602.6672,1360
1145,3072471,1,1,1,2,4,58,2,1,12,7,0,39755,41167,2600,5752,480,2332,1440,1232
1147,2924683,3,1,2,1,2,60,2,1,15,9,0,64208.8,70954.8,2773.3332,4100,960,1912,21066.6672,600
1150,3001632,3,1,2,1,1,50,2,1,15,9,0,127479.2,156949.2,6413.3332,6142.6668,1596,1352,4160,868
1155,2793275,3,1,2,1,1,57,1,1,15,9,0,118279.4,144961.4,8468,21028,9386.6668,3026.6668,8213.3328,1516
1159,3081013,3,9,1,1,2,41,2,5,13,6,0,29257,30000,2240,2572,725.3332,880,2000,240
1160,2997792,4,1,2,1,4,29,2,1,13,9,0,68334,78000,5730.6668,20634.6668,2984,924,4416,1568
1168,2802585,2,1,1,1,1,60,2,1,15,9,0,69254,78141,5546.6668,14389.3332,5360,3680,105856,656
1175,2874354,3,9,1,1,4,46,2,4,13,1,0,2540,2200,1733.3332,4152,1580,1032,3152,276
1176,2807885,4,1,2,1,1,59,2,1,12,9,0,87569.6,98294.6,2998.6668,61126.6668,3996,12492,2560,644
1177,2807905,1,1,2,1,1,57,2,1,12,9,0,77453,89000,2478.6668,3896,2532,2980,3840,1920
1184,2813925,1,1,2,1,2,54,1,1,12,9,0,61872.6,70138.6,1040,4348,872,1156,1984,580
1187,2923563,1,1,2,1,1,45,1,1,14,9,0,85676,1.00E+05,2773.3332,11392,4860,3360,10538.6672,720
1188,3085371,4,1,1,2,1,62,2,1,12,8,0,51603,53271,1646.6668,3216,800,1192,6080,412
1189,3045782,4,1,2,1,2,44,1,1,14,9,0,118485.6,148884.6,6113.3332,39928,5269.3332,2884,8874.6672,3832
1190,3065103,4,1,2,1,1,40,2,1,14,9,0,67484,76840,4056,13024,3760,2796,13920,80
1191,2945893,1,1,2,1,1,58,1,1,15,8,0,59026.8,62576.8,1733.3332,11993.6668,2960,840,4736,440
1193,2867574,4,1,2,1,1,56,2,1,15,5,0,21355,21500,8640,7269.3332,8432,1868,1920,3608
1194,2948353,1,9,1,1,1,52,1,4,11,9,0,84836,96000,3120,14088,13012,3884,901.3328,556
1197,3082142,2,1,2,1,1,50,2,1,14,9,0,69444.8,80514.8,4680,5800,828,1680,10122.6672,360
1200,3068572,3,1,2,1,2,43,1,1,11,8,0,51032,57500,1733.3332,5971.3332,1126.6668,2612,11648,240
1201,3009852,2,9,1,1,4,38,1,5,10,4,0,15399.2,16813.2,866.6668,4200,200,1400,480,160
1202,3003092,3,1,2,1,1,54,1,1,16,9,0,156513,185000,1560,18029.6668,481.3332,1408,4256,1496
1205,2876654,4,1,2,1,1,43,1,1,15,9,0,128431.6,154300.6,3120,4209.3332,1200,928,6720,320
1206,3084572,1,1,1,1,2,64,2,1,15,9,0,83686,97401,3693.3332,5588,2545.3332,1112,8318.4,712
1208,2954523,4,1,2,1,1,38,2,1,15,9,0,118885.4,137752.4,2253.3332,10489.3332,6160,1200,3840,892
1212,3062193,4,1,2,1,1,54,2,1,14,8,0,54009,60000,4477.3332,29028,3796,1192,14400,764
1215,2923343,2,1,2,1,1,53,1,1,16,9,0,115781.8,139646.8,5040,20091.3332,1461.3332,3852,3680,4628
1219,3072301,3,1,2,1,4,40,2,1,16,9,0,203488,260000,4680,6730.6668,945.3332,1786.6668,8960,256
1224,2998512,1,1,1,1,2,58,2,1,15,9,0,137734.8,170262.8,4840,13530.6668,944,4508,31036.8,1440
1227,3055653,3,1,2,1,4,50,1,1,14,9,0,70812.6,84433.6,7626.6668,14616,4242.6668,5080,7541.3328,2604
1232,3048652,2,1,2,1,2,57,2,1,12,9,0,187537,240000,3320,6465.3332,2844,2052,18112,960
1234,3007072,1,1,2,1,2,56,1,1,15,9,0,106490,129034,5633.3332,10525.3332,1333.3332,1844,14096,1832
1236,2992482,3,1,2,1,2,60,1,1,15,9,0,82019.2,91908.2,3813.3332,10441.3332,2000,3164,6784,1284
1238,2836634,4,1,2,1,1,36,1,1,12,9,0,90209.8,101903.8,6933.3332,13937.3332,11181.3332,3220,17952,2160
1243,2997852,4,1,2,1,2,58,1,1,12,8,0,54924,61088,3813.3332,4821.3332,2842.6668,1928,10538.6672,488
1244,2813425,4,1,2,1,4,34,2,1,12,8,0,49972,55000,3033.3332,7138.6668,424,816,2880,796
1245,2929173,3,1,2,1,1,29,2,1,14,8,0,49021,56000,5200,8010.6668,2960,3344,4992,4456
1248,3000732,3,1,1,1,2,61,2,1,14,8,0,60013,63600,1040,2136,480,1176,14638.4,224
1250,2813605,1,1,2,1,1,55,1,1,14,9,0,152922,196000,6920,65153.3332,3370.6668,2504,6762.6672,1900
1251,3069954,4,1,2,1,1,62,1,1,14,9,0,104981.2,127031.2,2773.3332,12928,10221.3332,1736,49600,5600
1253,2933033,3,1,2,1,2,64,1,1,12,6,0,37127.6,39094.6,8666.6668,7974.6668,8540,4144,25504,1400
1255,2805045,2,1,2,1,1,51,2,1,14,9,0,128908,164000,2166.6668,4510.6668,1216,1280,16240,1080
1264,2796085,4,1,2,1,1,51,1,1,15,9,0,93376,107500,5200,13088,2814.6668,2552,26186.6672,1568
1267,2845994,3,1,2,1,1,54,1,1,11,9,0,98589.6,120114.6,5893.3332,19217.3332,3850.6668,1960,36160,5868
1268,3070451,3,1,2,1,1,47,2,1,12,9,0,69237.2,76864.2,2686.6668,5402.6668,960,1100,14736,400
1271,2801765,1,1,2,1,1,63,1,1,15,9,0,156327,195097,10077.3332,28930.6668,19736,5180,10560,5584
1272,3001622,4,1,2,1,1,57,1,1,12,9,0,97760,113000,1993.3332,8364,2174.6668,840,3653.3328,960
1274,2877864,2,1,2,1,1,45,1,1,15,9,0,114425.8,131165.8,4368,15242.6668,1110.6668,1904,5136,2432
1277,3053571,1,9,1,1,2,51,1,5,11,6,0,33049,35250,1560,1108,857.3332,788,6080,640
1278,2807245,4,1,2,1,4,31,2,1,15,9,0,85479,105000,4160,7492,960,1148,1552,508
1284,2932733,1,1,2,1,4,58,1,1,15,9,0,66397,75000,10200,13128,6380,576,5696,2992
1285,2807555,3,1,2,1,1,53,1,1,13,9,0,83212,97000,4140,6130,43000,1712,7696,1284
1286,3053883,3,1,2,1,1,56,1,1,12,6,0,35180,36828,1317.3332,5005.3332,813.3332,2404,15605.3328,512
1292,2838554,1,1,2,1,1,53,1,1,13,9,0,100646.8,119985.8,6656,15758.6668,3640,2504,20533.3328,596
1293,3006262,3,9,1,1,1,63,2,3,14,3,0,15594.2,14574.2,2080,55666.6668,2001.3332,1540,8174.4,1452
1294,3088122,2,1,2,1,1,56,1,1,15,9,0,116672.4,145939.4,2489.3332,3778.6668,1244,1796,5008,360
1301,3081571,2,1,2,2,4,63,1,1,16,9,0,83670,93200,1698.6668,3228,1737.3332,1080,528,160
1305,2927073,3,1,2,1,2,59,1,1,13,9,0,144496,175000,8320,5613.3332,3840,2360,37120,12800
1313,2808385,1,9,1,1,4,61,2,4,10,5,0,30847,27560,6046.6668,2829.3332,5368,669.3332,17484.8,2380
1320,2991112,2,1,1,1,4,58,1,1,12,7,0,39307,44000,3813.3332,7456,1110.6668,848,9248,568
1322,2871894,1,1,2,1,4,61,1,1,12,9,0,126787,159242,901.3332,6581.3332,4132,1168,9824,480
1323,3082271,3,1,2,1,1,56,1,1,12,8,0,46816,50486,1646.6668,1926.6668,2390.6668,1364,2330.6672,260
1325,2844144,1,1,2,1,2,60,2,1,12,9,0,94442,113000,5893.3332,2669.3332,1920,1476,19413.3328,928
1326,3058444,3,9,1,1,4,58,2,2,13,5,0,25121,23319,2553.3332,7108,2466.6668,1080,9344,1840
1327,3050244,2,1,1,1,4,62,1,1,12,5,0,27199,28000,3293.3332,9740,1600,3616,9600,712
1335,3086002,2,1,2,1,4,52,1,1,12,9,0,82317,97050,1733.3332,9112,1228,2168,2602.6672,2416
1337,2991792,4,1,1,1,1,44,1,1,13,8,0,50599.6,56874.6,5373.3332,8448,3024,2392,9365.3328,2920
1340,3055251,2,1,2,2,2,53,1,1,12,9,0,72969.6,80819.6,5070.6668,3152,4720,1900,7125.3328,2348
1341,2813755,3,1,2,1,1,38,1,1,15,9,0,207784,244162,6066.6668,11093.3332,3853.3332,1620,3989.3328,664
1348,3048491,2,1,2,2,2,61,1,1,12,7,0,46298,49353,3245.3332,4233.3332,640,3100,12800,864
1349,2800065,1,1,2,1,1,47,2,1,14,9,0,67612,77680,7626.6668,11289.3332,4132,3316,8944,980
1350,2868684,4,1,2,1,1,53,2,1,13,8,0,63446.2,69227.2,2166.6668,6197.3332,848,720,9920,3796
1351,3004222,4,1,2,1,1,55,1,1,15,9,0,146589.8,181751.8,2253.3332,12020,2900,1516,9397.3328,1144
1354,2992302,4,1,2,1,1,59,2,1,14,9,0,82282,90200,6000,23412,11414.6668,7188,7040,4108
1358,2932603,3,9,1,1,1,55,2,3,15,8,0,54154,60000,6714.6668,13446.6668,11184,4160,5120,4664
1362,3059554,2,1,2,1,1,58,2,1,12,8,0,53623.2,60118.2,5546.6668,7077.3332,4104,3592,4896,1328
1363,3069612,2,1,2,1,1,57,2,1,15,9,0,65298.4,73530.4,1993.3332,7037.3332,968,2272,8650.6672,1480
1365,2996792,1,1,2,1,1,63,2,1,14,9,0,66278.2,75979.2,5373.3332,7029.3332,3756,2296,7596.8,1552
1367,2839984,3,1,2,1,4,57,1,1,14,9,0,127360,160000,8620,12896,2924,4536,14464,760
1369,2836864,3,1,2,1,1,63,1,1,14,7,0,42943,48000,4506.6668,11548,3268,3776,20544,800
