region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,food,house,transport,utili,health,enter
1,1,2,1,1,57,2,1,12,9,0,77453,2478.6668,3896,2532,2980,3840,1920
1,1,2,1,2,54,1,1,12,9,0,61872.6,1040,4348,872,1156,1984,580
1,1,2,1,1,45,1,1,14,9,0,85676,2773.3332,11392,4860,3360,10538.6672,720
4,1,1,2,1,62,2,1,12,8,0,51603,1646.6668,3216,800,1192,6080,412
4,1,2,1,2,44,1,1,14,9,0,118485.6,6113.3332,39928,5269.3332,2884,8874.6672,3832
4,1,2,1,1,40,2,1,14,9,0,67484,4056,13024,3760,2796,13920,80
1,1,2,1,1,58,1,1,15,8,0,59026.8,1733.3332,11993.6668,2960,840,4736,440
4,1,2,1,1,56,2,1,15,5,0,21355,8640,7269.3332,8432,1868,1920,3608
1,9,1,1,1,52,1,4,11,9,0,84836,3120,14088,13012,3884,901.3328,556
2,1,2,1,1,50,2,1,14,9,0,69444.8,4680,5800,828,1680,10122.6672,360
3,1,2,1,2,43,1,1,11,8,0,51032,1733.3332,5971.3332,1126.6668,2612,11648,240
2,9,1,1,4,38,1,5,10,4,0,15399.2,866.6668,4200,200,1400,480,160
3,1,2,1,1,54,1,1,16,9,0,156513,1560,18029.6668,481.3332,1408,4256,1496
4,1,2,1,1,43,1,1,15,9,0,128431.6,3120,4209.3332,1200,928,6720,320
1,1,1,1,2,64,2,1,15,9,0,83686,3693.3332,5588,2545.3332,1112,8318.4,712
4,1,2,1,1,38,2,1,15,9,0,118885.4,2253.3332,10489.3332,6160,1200,3840,892
4,1,2,1,1,54,2,1,14,8,0,54009,4477.3332,29028,3796,1192,14400,764
2,1,2,1,1,53,1,1,16,9,0,115781.8,5040,20091.3332,1461.3332,3852,3680,4628
3,1,2,1,4,40,2,1,16,9,0,203488,4680,6730.6668,945.3332,1786.6668,8960,256
1,1,1,1,2,58,2,1,15,9,0,137734.8,4840,13530.6668,944,4508,31036.8,1440
3,1,2,1,4,50,1,1,14,9,0,70812.6,7626.6668,14616,4242.6668,5080,7541.3328,2604
2,1,2,1,2,57,2,1,12,9,0,187537,3320,6465.3332,2844,2052,18112,960
1,1,2,1,2,56,1,1,15,9,0,106490,5633.3332,10525.3332,1333.3332,1844,14096,1832
3,1,2,1,2,60,1,1,15,9,0,82019.2,3813.3332,10441.3332,2000,3164,6784,1284
4,1,2,1,1,36,1,1,12,9,0,90209.8,6933.3332,13937.3332,11181.3332,3220,17952,2160
4,1,2,1,2,58,1,1,12,8,0,54924,3813.3332,4821.3332,2842.6668,1928,10538.6672,488
4,1,2,1,4,34,2,1,12,8,0,49972,3033.3332,7138.6668,424,816,2880,796
3,1,2,1,1,29,2,1,14,8,0,49021,5200,8010.6668,2960,3344,4992,4456
3,1,1,1,2,61,2,1,14,8,0,60013,1040,2136,480,1176,14638.4,224
1,1,2,1,1,55,1,1,14,9,0,152922,6920,65153.3332,3370.6668,2504,6762.6672,1900
4,1,2,1,1,62,1,1,14,9,0,104981.2,2773.3332,12928,10221.3332,1736,49600,5600
3,1,2,1,2,64,1,1,12,6,0,37127.6,8666.6668,7974.6668,8540,4144,25504,1400
2,1,2,1,1,51,2,1,14,9,0,128908,2166.6668,4510.6668,1216,1280,16240,1080
4,1,2,1,1,51,1,1,15,9,0,93376,5200,13088,2814.6668,2552,26186.6672,1568
3,1,2,1,1,54,1,1,11,9,0,98589.6,5893.3332,19217.3332,3850.6668,1960,36160,5868
3,1,2,1,1,47,2,1,12,9,0,69237.2,2686.6668,5402.6668,960,1100,14736,400
1,1,2,1,1,63,1,1,15,9,0,156327,10077.3332,28930.6668,19736,5180,10560,5584
4,1,2,1,1,57,1,1,12,9,0,97760,1993.3332,8364,2174.6668,840,3653.3328,960
2,1,2,1,1,45,1,1,15,9,0,114425.8,4368,15242.6668,1110.6668,1904,5136,2432
1,9,1,1,2,51,1,5,11,6,0,33049,1560,1108,857.3332,788,6080,640
4,1,2,1,4,31,2,1,15,9,0,85479,4160,7492,960,1148,1552,508
1,1,2,1,4,58,1,1,15,9,0,66397,10200,13128,6380,576,5696,2992
3,1,2,1,1,53,1,1,13,9,0,83212,4140,6130,43000,1712,7696,1284
3,1,2,1,1,56,1,1,12,6,0,35180,1317.3332,5005.3332,813.3332,2404,15605.3328,512
1,1,2,1,1,53,1,1,13,9,0,100646.8,6656,15758.6668,3640,2504,20533.3328,596
3,9,1,1,1,63,2,3,14,3,0,15594.2,2080,55666.6668,2001.3332,1540,8174.4,1452
2,1,2,1,1,56,1,1,15,9,0,116672.4,2489.3332,3778.6668,1244,1796,5008,360
2,1,2,2,4,63,1,1,16,9,0,83670,1698.6668,3228,1737.3332,1080,528,160
3,1,2,1,2,59,1,1,13,9,0,144496,8320,5613.3332,3840,2360,37120,12800
1,9,1,1,4,61,2,4,10,5,0,30847,6046.6668,2829.3332,5368,669.3332,17484.8,2380
2,1,1,1,4,58,1,1,12,7,0,39307,3813.3332,7456,1110.6668,848,9248,568
1,1,2,1,4,61,1,1,12,9,0,126787,901.3332,6581.3332,4132,1168,9824,480
3,1,2,1,1,56,1,1,12,8,0,46816,1646.6668,1926.6668,2390.6668,1364,2330.6672,260
1,1,2,1,2,60,2,1,12,9,0,94442,5893.3332,2669.3332,1920,1476,19413.3328,928
3,9,1,1,4,58,2,2,13,5,0,25121,2553.3332,7108,2466.6668,1080,9344,1840
2,1,1,1,4,62,1,1,12,5,0,27199,3293.3332,9740,1600,3616,9600,712
2,1,2,1,4,52,1,1,12,9,0,82317,1733.3332,9112,1228,2168,2602.6672,2416
4,1,1,1,1,44,1,1,13,8,0,50599.6,5373.3332,8448,3024,2392,9365.3328,2920
2,1,2,2,2,53,1,1,12,9,0,72969.6,5070.6668,3152,4720,1900,7125.3328,2348
3,1,2,1,1,38,1,1,15,9,0,207784,6066.6668,11093.3332,3853.3332,1620,3989.3328,664
